Rank,Country,Alias,GNI per capita (US$),Year,Group,Group Rank
56,Romania,Romania,12570,2020,Upper-middle-income,3
57,Panama,Panama,11880,2020,Upper-middle-income,3
—,World,World,11558,2019,Upper-middle-income,3
58,Costa Rica,Costa Rica,11460,2020,Upper-middle-income,3
59,Russia,Russian Fed.,10690,2020,Upper-middle-income,3
60,China,China,10610,2020,Upper-middle-income,3
61,Malaysia,Malaysia,10580,2020,Upper-middle-income,3
62,Mauritius,Mauritius,10230,2020,Upper-middle-income,3
63,Bulgaria,Bulgaria,9540,2020,Upper-middle-income,3
64,Turkey,Turkey,9050,2020,Upper-middle-income,3
65,Argentina,Argentina,8930,2020,Upper-middle-income,3
66,Saint Lucia,Saint Lucia,8790,2020,Upper-middle-income,3
67,Grenada,Grenada,8740,2020,Upper-middle-income,3
68,Kazakhstan,Kazakhstan,8680,2020,Upper-middle-income,3
69,Mexico,Mexico,8480,2020,Upper-middle-income,3
70,Montenegro,Montenegro,7900,2020,Upper-middle-income,3
71,Brazil,Brazil,7850,2020,Upper-middle-income,3
72,Cuba,Cuba,7480,2016,Upper-middle-income,3
73,Serbia,Serbia,7400,2020,Upper-middle-income,3
74,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,7340,2020,Upper-middle-income,3
75,Dominican Republic,Dominican Republic,7260,2020,Upper-middle-income,3
76,Turkmenistan,Turkmenistan,7220,2019,Upper-middle-income,3
77,Thailand,Thailand,7050,2020,Upper-middle-income,3
78,Gabon,Gabon,6970,2020,Upper-middle-income,3
79,Dominica,Dominica,6870,2020,Upper-middle-income,3
80,Maldives,Maldives,6830,2020,Upper-middle-income,3
81,Botswana,Botswana,6640,2020,Upper-middle-income,3
165,Syria,Syria,1820,2007,Low-income,1
166,South Sudan,South Sudan,1090,2015,Low-income,1
167,Guinea,Guinea,1020,2020,Low-income,1
168,Yemen,Yemen,940,2018,Low-income,1
169,Togo,Togo,920,2020,Low-income,1
170,Ethiopia,Ethiopia,890,2020,Low-income,1
171,Mali,Mali,830,2020,Low-income,1
172,Uganda,Uganda,800,2020,Low-income,1
173,Burkina Faso,Burkina Faso,790,2020,Low-income,1
174,Rwanda,Rwanda,780,2020,Low-income,1
175,Guinea-Bissau,Guinea-Bissau,760,2020,Low-income,1
176,Gambia,Gambia,750,2020,Low-income,1
177,Chad,Chad,660,2020,Low-income,1
,Andorra,Andorra,,,High-income,4
,British Virgin Islands (UK),British Virgin Islands (UK),,,High-income,4
,Cook Islands (New Zealand),Cook Islands (New Zealand),,,High-income,4
,Faroe Islands (Denmark),Faroe Islands (Denmark),,,High-income,4
,Gibraltar (UK),Gibraltar (UK),,,High-income,4
,Guam (US),Guam (US),,,High-income,4
,Monaco,Monaco,,,High-income,4
,Northern Mariana Islands (US),Northern Mariana Islands (US),,,High-income,4
,Saint Martin (France),Saint Martin (France),,,High-income,4
,San Marino,San Marino,,,High-income,4
,U.S. Virgin Islands (US),U.S. Virgin Islands (US),,,High-income,4
,American Samoa (US),American Samoa (US),,,Upper-middle-income,3
,North Korea,North Korea,,,Low-income,1
178,Sudan,Sudan,650,2020,Low-income,1
179,Eritrea,Eritrea,600,2011,Low-income,1
180,Malawi,Malawi,580,2020,Low-income,1
181,Democratic Republic of the Congo,Democratic Republic of the Congo,550,2020,Low-income,1
182,Niger,Niger,540,2020,Low-income,1
183,Liberia,Liberia,530,2020,Low-income,1
184,Central African Republic,Central African Republic,510,2020,Low-income,1
185,Afghanistan,Afghanistan,500,2020,Low-income,1
186,Sierra Leone,Sierra Leone,490,2020,Low-income,1
